Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
(2021 RV2),2021-09-04 00:11:00,0.02704,0.02685,6.03,6.01,26.1,16 m -   36 m,0.0,36.0
(2021 RF19),2021-09-05 00:02:00,0.02632,0.02621,5.67,5.65,27.4,8.6 m -   19 m,0.0,19.0
(2021 RJ5),2021-09-05 00:10:00,0.01542,0.01522,13.6,13.58,27.3,9.1 m -   20 m,0.0,20.0
(2021 RF10),2021-09-06 00:01:00,0.02529,0.02514,13.47,13.46,25.8,18 m -   41 m,0.0,41.0
(2021 RY7),2021-09-06 00:03:00,0.02301,0.02262,21.47,21.47,26.3,15 m -   33 m,0.0,33.0
(2019 UY3),2021-09-06 00:04:00,0.04535,0.04532,5.03,5.02,23.9,45 m -  100 m,0.0,100.0
(2021 RV9),2021-09-06 00:04:00,0.01968,0.01945,8.33,8.31,26.9,11 m -   24 m,0.0,24.0
(2021 TV9),2021-09-06 00:11:00,0.04837,0.04817,3.66,3.65,25.4,23 m -   50 m,0.0,50.0
(2021 RS100),2021-09-07 00:10:00,0.00128,0.00126,20.15,20.04,28.8,4.7 m -   11 m,0.0,11.0
(2021 RE2),2021-09-07 01:58:00,0.03355,0.03324,4.89,4.87,27.4,8.6 m -   19 m,0.0,19.0
(2021 SG49),2021-09-07 13:58:00,0.03966,0.03233,9.48,9.47,26.1,16 m -   36 m,0.0,36.0
(2021 RF15),2021-09-08 00:06:00,0.00768,0.00766,13.03,13.01,26.2,15 m -   34 m,0.0,34.0
(2021 RD16),2021-09-09 00:02:00,0.0306,0.03016,14.95,14.94,25.1,25 m -   55 m,0.0,55.0
(2021 SJ),2021-09-10 00:01:00,0.04215,0.04156,9.39,9.38,24.4,36 m -   79 m,0.0,79.0
(2020 KR2),2021-09-10 01:22:00,0.03626,0.03574,5.1,5.09,26.6,13 m -   28 m,0.0,28.0
(2021 TW14),2021-09-10 01:29:00,0.04738,0.04584,15.28,15.27,24.2,38 m -   84 m,0.0,84.0
(2021 RF3),2021-09-11 00:01:00,0.0345,0.03436,11.16,11.16,26.3,15 m -   33 m,0.0,33.0
(2021 RS14),2021-09-11 00:02:00,0.00334,0.00333,11.05,10.98,28.2,6.2 m -   14 m,0.0,14.0
(2021 SD1),2021-09-11 00:03:00,0.04739,0.0473,15.61,15.61,24.9,28 m -   62 m,0.0,62.0
(2021 RQ1),2021-09-11 00:05:00,0.04271,0.0422,6.67,6.66,26.3,14 m -   32 m,0.0,32.0
(2021 SC),2021-09-13 00:02:00,0.00792,0.00789,7.05,7.0,28.1,6.4 m -   14 m,0.0,14.0
(2021 TW1),2021-09-14 00:02:00,0.04777,0.04654,8.71,8.7,24.1,41 m -   91 m,0.0,91.0
(2021 RZ4),2021-09-14 00:03:00,0.04097,0.04063,6.74,6.73,26.5,13 m -   29 m,0.0,29.0
(2021 RP16),2021-09-15 00:51:00,0.02246,0.02148,10.89,10.88,26.3,15 m -   33 m,0.0,33.0
(2021 SU),2021-09-16 00:01:00,0.03746,0.03728,10.95,10.95,24.8,29 m -   65 m,0.0,65.0
(2021 SL5),2021-09-16 00:12:00,0.00779,0.00765,9.3,9.27,25.7,19 m -   42 m,0.0,42.0
(2021 QV5),2021-09-16 00:31:00,0.03285,0.03128,15.44,15.43,24.4,35 m -   78 m,0.0,78.0
(2021 RO14),2021-09-16 00:37:00,0.03787,0.03731,11.75,11.74,26.4,14 m -   31 m,0.0,31.0
(2021 RH12),2021-09-18 00:11:00,0.00293,0.00292,5.59,5.42,28.5,5.3 m -   12 m,0.0,12.0
(2021 TU),2021-09-19 00:47:00,0.02397,0.02268,4.54,4.51,28.5,5.3 m -   12 m,0.0,12.0
(2021 RZ7),2021-09-20 00:02:00,0.01592,0.01563,13.49,13.47,25.9,18 m -   40 m,0.0,40.0
(2021 SB2),2021-09-20 00:08:00,0.02465,0.02457,7.01,7.0,26.6,13 m -   28 m,0.0,28.0
(2021 SQ),2021-09-20 00:10:00,0.00184,0.00183,10.74,10.6,28.4,5.5 m -   12 m,0.0,12.0
(2021 SP2),2021-09-20 00:23:00,0.02025,0.02014,6.78,6.76,25.7,19 m -   43 m,0.0,43.0
(2021 SW),2021-09-20 00:31:00,0.00348,0.00345,10.42,10.35,28.0,6.7 m -   15 m,0.0,15.0
(2021 RN16),2021-09-21 00:34:00,0.00321,0.0032,9.74,9.65,28.4,5.5 m -   12 m,0.0,12.0
(2021 RX9),2021-09-21 01:11:00,0.02115,0.02026,14.6,14.59,26.0,17 m -   38 m,0.0,38.0
(2021 SG1),2021-09-22 00:01:00,0.01405,0.01391,8.25,8.23,25.6,21 m -   46 m,0.0,46.0
(2021 SA2),2021-09-22 00:23:00,0.02732,0.02717,13.46,13.46,26.2,15 m -   34 m,0.0,34.0
(2021 SK),2021-09-24 00:03:00,0.03417,0.03301,12.83,12.82,25.4,23 m -   50 m,0.0,50.0
(2021 SW2),2021-09-25 00:02:00,0.00744,0.0074,22.03,22.02,25.7,19 m -   42 m,0.0,42.0
(2021 TH1),2021-09-25 00:41:00,0.00914,0.0091,7.09,7.05,28.0,6.7 m -   15 m,0.0,15.0
(2021 SW1),2021-09-26 00:11:00,0.00182,0.00179,10.76,10.63,29.8,2.9 m -  6.5 m,0.0,6.5
(2021 SH3),2021-09-27 00:01:00,0.03461,0.0344,12.03,12.02,25.6,20 m -   45 m,0.0,45.0
(2021 SQ1),2021-09-27 00:01:00,0.00111,0.00111,13.4,13.22,28.8,4.6 m -   10 m,0.0,10.0
(2021 TF10),2021-09-28 00:09:00,0.04354,0.04325,8.61,8.6,27.2,9.7 m -   22 m,0.0,22.0
(2021 TU12),2021-09-29 01:02:00,0.03393,0.03305,9.44,9.43,24.2,38 m -   86 m,0.0,86.0
(2022 SU7),2021-09-30 00:07:00,0.01864,0.0183,4.4,4.37,28.3,5.8 m -   13 m,0.0,13.0
(2021 TY),2021-09-30 00:19:00,0.04266,0.04183,11.87,11.86,26.6,13 m -   28 m,0.0,28.0
(2021 TF1),2021-10-01 00:02:00,0.0149,0.01487,14.92,14.9,25.9,17 m -   39 m,0.0,39.0
(2021 TL10),2021-10-02 00:29:00,0.02528,0.02482,15.42,15.41,26.4,14 m -   32 m,0.0,32.0
(2021 SV1),2021-10-04 00:01:00,0.01746,0.01739,8.88,8.86,26.5,13 m -   30 m,0.0,30.0
(2021 TJ10),2021-10-04 00:03:00,0.00943,0.00938,6.82,6.78,29.0,4.3 m -  9.5 m,0.0,9.5
(2021 TY1),2021-10-05 00:02:00,0.04704,0.04685,9.95,9.95,25.3,23 m -   51 m,0.0,51.0
(2021 TR1),2021-10-06 00:03:00,0.04824,0.04699,12.8,12.79,25.1,26 m -   58 m,0.0,58.0
(2021 TG8),2021-10-06 00:06:00,0.01921,0.01908,8.47,8.45,27.4,8.8 m -   20 m,0.0,20.0
(2021 VQ),2021-10-06 00:27:00,0.04242,0.04209,6.66,6.65,24.5,34 m -   76 m,0.0,76.0
(2021 TU10),2021-10-07 00:01:00,0.01564,0.01554,11.56,11.55,26.9,11 m -   25 m,0.0,25.0
(2021 TM8),2021-10-07 00:01:00,0.03033,0.03015,6.62,6.61,27.8,7.4 m -   16 m,0.0,16.0
(2021 TU13),2021-10-07 00:04:00,0.00612,0.00609,9.33,9.28,25.7,19 m -   43 m,1.0,43.0
(2021 TO8),2021-10-08 00:12:00,0.02147,0.02134,10.13,10.12,27.9,7.0 m -   16 m,0.0,16.0
(2021 TN8),2021-10-09 00:25:00,0.04155,0.04094,13.72,13.71,26.7,12 m -   27 m,0.0,27.0
(2021 TH15),2021-10-11 00:04:00,0.00211,0.0021,12.52,12.42,28.9,4.5 m - 10.0 m,0.0,10.0
(2021 TC13),2021-10-11 00:04:00,0.02995,0.02985,9.46,9.45,26.0,17 m -   38 m,0.0,38.0
(2021 TS15),2021-10-12 00:02:00,0.03531,0.03505,3.93,3.91,26.8,11 m -   26 m,0.0,26.0
(2021 TN9),2021-10-12 00:03:00,0.02666,0.02648,8.59,8.58,26.9,11 m -   24 m,0.0,24.0
(2022 UX1),2021-10-12 05:27:00,0.048,0.04131,9.8,9.79,28.0,6.7 m -   15 m,0.0,15.0
(2021 TP114),2021-10-13 00:12:00,0.01503,0.01497,5.46,5.43,27.5,8.5 m -   19 m,0.0,19.0
(2021 UN),2021-10-13 01:38:00,0.00372,0.00359,13.11,13.05,28.9,4.5 m -   10 m,0.0,10.0
(2021 TV10),2021-10-15 00:02:00,0.00491,0.00488,11.59,11.55,27.8,7.3 m -   16 m,0.0,16.0
(2021 TD13),2021-10-15 00:04:00,0.01796,0.0179,9.98,9.96,27.2,9.5 m -   21 m,0.0,21.0
(2021 TK10),2021-10-15 00:05:00,0.01499,0.01484,9.84,9.82,27.4,8.8 m -   20 m,0.0,20.0
(2021 TH13),2021-10-17 00:02:00,0.00424,0.00423,8.61,8.54,28.1,6.3 m -   14 m,0.0,14.0
(2021 UK2),2021-10-18 00:09:00,0.00531,0.00526,11.97,11.93,26.8,11 m -   26 m,0.0,26.0
(2021 TQ15),2021-10-18 00:15:00,0.02098,0.02078,7.75,7.73,27.6,8.2 m -   18 m,0.0,18.0
(2021 UM3),2021-10-19 00:03:00,0.01959,0.01952,14.91,14.9,24.7,31 m -   68 m,0.0,68.0
(2021 UL6),2021-10-19 00:21:00,0.03985,0.03945,24.21,24.2,24.4,35 m -   78 m,0.0,78.0
(2020 TH6),2021-10-19 00:47:00,0.01864,0.01722,5.86,5.83,28.8,4.6 m -   10 m,0.0,10.0
(2021 RE10),2021-10-21 00:01:00,0.03948,0.03947,5.11,5.1,24.0,42 m -   93 m,0.0,93.0
(2021 TE4),2021-10-21 00:07:00,0.02133,0.02123,6.0,5.98,26.9,11 m -   24 m,0.0,24.0
(2021 UJ3),2021-10-21 00:25:00,0.02495,0.02473,13.57,13.56,27.0,11 m -   24 m,0.0,24.0
(2021 VL4),2021-10-21 21:35:00,0.02345,0.02192,10.05,10.04,26.2,15 m -   34 m,0.0,34.0
(2021 UL3),2021-10-23 00:03:00,0.00346,0.00344,8.93,8.84,28.6,5.0 m -   11 m,0.0,11.0
(2021 UF10),2021-10-24 08:25:00,0.04059,0.03892,6.17,6.16,27.6,8.0 m -   18 m,0.0,18.0
(2021 VP4),2021-10-26 00:05:00,0.03131,0.03109,11.74,11.73,25.3,24 m -   53 m,0.0,53.0
(2021 UO4),2021-10-27 00:01:00,0.04121,0.04103,8.2,8.2,26.3,14 m -   32 m,0.0,32.0
(2021 UA7),2021-10-27 00:06:00,0.00086,0.00085,27.77,27.66,28.8,4.7 m -   11 m,0.0,11.0
(2021 UM4),2021-10-27 00:07:00,0.00695,0.00691,16.35,16.32,27.8,7.3 m -   16 m,0.0,16.0
(2021 UF3),2021-10-29 00:02:00,0.01398,0.01394,3.57,3.52,29.1,4.0 m -  8.9 m,0.0,8.9
(2021 UV5),2021-10-29 00:03:00,0.00077,0.00077,12.93,12.66,28.8,4.6 m -   10 m,0.0,10.0
(2022 UU8),2021-10-29 00:06:00,0.04344,0.04337,3.79,3.78,28.0,6.8 m -   15 m,0.0,15.0
(2021 VU3),2021-10-30 00:07:00,0.01414,0.01395,10.68,10.67,27.8,7.2 m -   16 m,0.0,16.0
(2021 VV5),2021-10-31 00:02:00,0.04018,0.04001,7.69,7.68,27.3,9.1 m -   20 m,0.0,20.0
(2021 UR7),2021-10-31 01:53:00,0.02841,0.02769,6.57,6.56,27.4,8.7 m -   19 m,0.0,19.0
(2021 VN2),2021-11-01 00:01:00,0.01017,0.01012,12.69,12.67,25.4,23 m -   51 m,0.0,51.0
(2021 UQ7),2021-11-01 00:01:00,0.02956,0.0294,7.09,7.08,27.1,10 m -   23 m,0.0,23.0
(2021 UW5),2021-11-01 00:02:00,0.00271,0.00271,15.15,15.08,28.9,4.5 m -   10 m,0.0,10.0
(2021 VS4),2021-11-02 00:10:00,0.00624,0.00621,11.46,11.42,27.8,7.5 m -   17 m,0.0,17.0
(2021 VC4),2021-11-03 00:03:00,0.01623,0.01612,11.23,11.22,26.9,11 m -   25 m,0.0,25.0
(2021 VD19),2021-11-03 00:08:00,0.03137,0.03117,10.63,10.62,26.4,14 m -   31 m,0.0,31.0
(2021 VK22),2021-11-03 00:24:00,0.03564,0.03447,11.58,11.57,25.1,25 m -   56 m,0.0,56.0
(2021 VL19),2021-11-03 04:39:00,0.01165,0.01135,5.5,5.45,27.5,8.4 m -   19 m,0.0,19.0
(2021 UP7),2021-11-04 00:01:00,0.01288,0.01285,15.1,15.09,27.5,8.6 m -   19 m,0.0,19.0
(2021 VP3),2021-11-04 00:26:00,0.00358,0.00353,15.67,15.62,28.4,5.5 m -   12 m,0.0,12.0
(2021 VP22),2021-11-05 00:09:00,0.00941,0.00938,4.39,4.32,27.7,7.6 m -   17 m,0.0,17.0
(2021 VZ8),2021-11-05 00:10:00,0.00452,0.00451,4.85,4.73,28.2,6.2 m -   14 m,0.0,14.0
(2021 VS22),2021-11-05 00:54:00,0.02515,0.02466,15.56,15.55,24.9,27 m -   61 m,0.0,61.0
(2021 VY1),2021-11-06 00:01:00,0.01982,0.01977,6.17,6.15,27.5,8.4 m -   19 m,0.0,19.0
(2020 KA),2021-11-06 00:49:00,0.03827,0.03761,4.85,4.83,27.5,8.4 m -   19 m,0.0,19.0
(2021 VQ10),2021-11-07 00:02:00,0.00436,0.00435,14.47,14.43,27.2,9.8 m -   22 m,0.0,22.0
(2021 WZ3),2021-11-07 00:07:00,0.04887,0.04858,5.85,5.84,24.8,30 m -   66 m,0.0,66.0
(2021 VK19),2021-11-07 00:29:00,0.02721,0.02703,14.05,14.04,26.8,12 m -   26 m,0.0,26.0
(2021 VS11),2021-11-07 01:10:00,0.00204,0.00202,5.58,5.34,28.7,4.8 m -   11 m,0.0,11.0
(2021 VX22),2021-11-08 00:50:00,0.00554,0.0055,2.39,2.18,30.3,2.3 m -  5.2 m,0.0,5.2
(2021 VP11),2021-11-09 00:01:00,0.00039,0.00036,9.74,9.0,31.8,1.2 m -  2.6 m,0.0,2.6
(2021 WQ),2021-11-10 00:39:00,0.04145,0.04,13.9,13.89,24.9,28 m -   62 m,0.0,62.0
(2021 XG1),2021-11-15 00:52:00,0.01992,0.01956,5.54,5.52,27.4,8.9 m -   20 m,0.0,20.0
(2021 VL22),2021-11-16 00:01:00,0.02333,0.02315,9.78,9.77,26.2,15 m -   34 m,0.0,34.0
(2021 WW),2021-11-16 00:03:00,0.0291,0.02882,14.0,14.0,24.3,37 m -   83 m,0.0,83.0
(2021 WU1),2021-11-17 00:21:00,0.01036,0.01031,8.47,8.44,26.2,16 m -   35 m,0.0,35.0
(2021 XU1),2021-11-17 01:06:00,0.04697,0.04567,9.42,9.41,25.0,26 m -   59 m,0.0,59.0
(2021 VW22),2021-11-19 00:29:00,0.03473,0.03446,8.51,8.5,26.8,11 m -   26 m,0.0,26.0
(2021 VZ22),2021-11-19 00:58:00,0.00287,0.00285,9.59,9.5,28.3,5.7 m -   13 m,0.0,13.0
(2021 VP10),2021-11-20 00:05:00,0.00514,0.00513,8.28,8.21,27.9,7.0 m -   16 m,0.0,16.0
(2021 WO6),2021-11-20 00:06:00,0.03539,0.03469,12.76,12.75,25.9,17 m -   38 m,0.0,38.0
(2021 WX2),2021-11-20 00:12:00,0.01031,0.01017,12.89,12.87,27.3,9.0 m -   20 m,0.0,20.0
(2021 WB3),2021-11-20 00:22:00,0.00729,0.00718,10.48,10.45,26.5,13 m -   30 m,0.0,30.0
(2022 VR1),2021-11-20 00:34:00,0.01063,0.01055,5.59,5.54,24.8,29 m -   65 m,1.0,65.0
(2021 WK6),2021-11-20 04:43:00,0.02312,0.02208,12.62,12.61,26.5,14 m -   30 m,0.0,30.0
(2021 WP),2021-11-21 00:05:00,0.00104,0.00104,5.15,4.62,27.9,7.1 m -   16 m,1.0,16.0
(2021 WE4),2021-11-22 00:27:00,0.00742,0.00731,9.16,9.12,28.2,6.1 m -   14 m,0.0,14.0
(2021 WJ6),2021-11-23 00:03:00,0.04745,0.04696,8.62,8.62,26.7,12 m -   28 m,0.0,28.0
(2021 WC5),2021-11-23 00:06:00,0.02098,0.02073,9.82,9.81,28.3,5.8 m -   13 m,0.0,13.0
(2021 XC3),2021-11-24 00:02:00,0.04535,0.04481,9.42,9.41,25.4,22 m -   50 m,0.0,50.0
(2021 XK2),2021-11-25 00:04:00,0.04955,0.04912,7.98,7.97,25.7,20 m -   44 m,0.0,44.0
(2021 XT),2021-11-25 00:05:00,0.03968,0.03916,16.57,16.57,24.6,32 m -   71 m,0.0,71.0
(2019 BB5),2021-11-25 06:13:00,0.04801,0.03911,8.35,8.34,26.7,12 m -   27 m,0.0,27.0
(2021 VM),2021-11-27 00:15:00,0.02397,0.0238,8.94,8.93,25.4,23 m -   50 m,0.0,50.0
(2021 XX1),2021-11-28 00:01:00,0.01829,0.01814,8.58,8.56,27.8,7.3 m -   16 m,0.0,16.0
(2021 WC1),2021-11-28 00:01:00,0.00136,0.00136,11.7,11.53,28.5,5.3 m -   12 m,0.0,12.0
(2021 XM),2021-11-28 00:02:00,0.00335,0.00333,8.75,8.66,27.2,9.7 m -   22 m,0.0,22.0
(2021 WF5),2021-11-28 00:04:00,0.03137,0.03114,8.47,8.46,27.1,9.9 m -   22 m,0.0,22.0
(2021 XL5),2021-11-28 00:09:00,0.01689,0.01662,9.79,9.77,25.7,19 m -   43 m,0.0,43.0
(2021 XP3),2021-11-28 00:27:00,0.01759,0.01735,10.64,10.62,25.7,19 m -   43 m,0.0,43.0
(2021 XQ1),2021-11-30 00:03:00,0.00412,0.0041,19.65,19.62,27.8,7.5 m -   17 m,0.0,17.0
(2021 WH2),2021-11-30 00:04:00,0.01595,0.01588,7.27,7.25,28.0,6.7 m -   15 m,0.0,15.0
(2021 XV),2021-11-30 01:17:00,0.00099,0.00096,10.98,10.73,30.1,2.5 m -  5.7 m,0.0,5.7
(2021 WC4),2021-12-01 00:02:00,0.00826,0.0082,14.27,14.25,28.3,6.0 m -   13 m,0.0,13.0
(2021 WE5),2021-12-01 00:07:00,0.03742,0.03693,7.46,7.45,27.4,8.7 m -   20 m,0.0,20.0
(2021 YE),2021-12-02 00:02:00,0.0109,0.01085,6.44,6.4,25.9,17 m -   39 m,0.0,39.0
(2021 XK4),2021-12-02 00:02:00,0.01698,0.01678,11.47,11.46,26.4,14 m -   31 m,0.0,31.0
(2021 XR5),2021-12-03 00:01:00,0.0263,0.02589,9.32,9.31,27.6,7.9 m -   18 m,0.0,18.0
(2021 XF1),2021-12-04 00:02:00,0.00206,0.00205,7.82,7.65,29.5,3.3 m -  7.3 m,0.0,7.3
(2021 XG3),2021-12-04 00:08:00,0.03733,0.03695,7.79,7.78,26.2,15 m -   34 m,0.0,34.0
(2021 XF),2021-12-05 00:01:00,0.00602,0.00599,8.22,8.16,28.4,5.7 m -   13 m,0.0,13.0
(2021 XB5),2021-12-05 00:01:00,0.0063,0.00628,13.47,13.44,25.4,22 m -   50 m,1.0,50.0
(2021 XT1),2021-12-06 00:03:00,0.02056,0.0205,5.34,5.31,28.6,5.1 m -   11 m,0.0,11.0
(2021 XT3),2021-12-07 00:01:00,0.01955,0.01937,6.99,6.97,27.4,8.6 m -   19 m,0.0,19.0
(2021 XZ5),2021-12-09 00:04:00,0.00214,0.00214,7.88,7.72,28.3,5.8 m -   13 m,0.0,13.0
(2021 XU5),2021-12-09 00:16:00,0.0016,0.00153,19.24,19.15,29.4,3.5 m -  7.8 m,0.0,7.8
(2021 XJ4),2021-12-10 00:03:00,0.00959,0.00948,20.97,20.96,27.3,9.1 m -   20 m,0.0,20.0
(2021 WZ5),2021-12-13 00:04:00,0.01171,0.01169,1.87,1.75,29.1,4.0 m -  9.0 m,0.0,9.0
(2021 YH),2021-12-13 00:06:00,0.00477,0.00474,9.13,9.07,27.0,10 m -   23 m,0.0,23.0
(2019 XQ1),2021-12-13 01:40:00,0.03612,0.03422,9.13,9.13,25.4,22 m -   49 m,0.0,49.0
(2021 YW),2021-12-22 00:06:00,0.00672,0.0067,24.77,24.76,25.1,26 m -   57 m,1.0,57.0
(2022 YG),2021-12-22 00:13:00,0.03513,0.03412,4.92,4.91,26.6,13 m -   28 m,0.0,28.0
(2022 AR3),2021-12-23 05:04:00,0.02169,0.02114,12.12,12.11,25.4,22 m -   50 m,0.0,50.0
(2022 AQ3),2021-12-28 00:01:00,0.03223,0.03198,5.72,5.71,26.5,13 m -   30 m,0.0,30.0
(2022 AS4),2021-12-28 00:08:00,0.01301,0.01292,11.01,10.99,26.4,14 m -   31 m,0.0,31.0
(2022 AE),2021-12-28 00:16:00,0.01552,0.01531,18.53,18.53,24.6,32 m -   72 m,0.0,72.0
(2021 YV),2021-12-29 00:03:00,0.0481,0.04778,4.5,4.49,26.5,13 m -   30 m,0.0,30.0
(2022 AR1),2021-12-29 00:04:00,0.03542,0.03463,18.04,18.04,24.9,28 m -   63 m,0.0,63.0
(2022 AK2),2021-12-29 00:10:00,0.01089,0.01078,12.58,12.56,26.2,15 m -   34 m,0.0,34.0
(2022 AM1),2021-12-30 00:02:00,0.01975,0.01961,10.99,10.98,26.9,11 m -   24 m,0.0,24.0
(2022 AM3),2022-01-01 00:01:00,0.02664,0.02649,6.88,6.87,26.6,13 m -   29 m,0.0,29.0
(2022 AL1),2022-01-03 00:02:00,0.04376,0.04344,8.83,8.82,26.3,15 m -   33 m,0.0,33.0
(2022 BX5),2022-01-03 00:26:00,0.0153,0.01528,0.65,0.27,29.0,4.2 m -  9.3 m,0.0,9.3
(2022 AV13),2022-01-05 00:07:00,0.00073,0.00072,7.53,7.03,31.8,1.1 m -  2.6 m,0.0,2.6
(2022 BL1),2022-01-05 04:37:00,0.03355,0.03275,7.27,7.25,25.9,18 m -   40 m,0.0,40.0
(2022 AY4),2022-01-06 00:02:00,0.00202,0.00201,17.21,17.13,29.7,3.1 m -  6.8 m,0.0,6.8
(2014 YE15),2022-01-06 00:08:00,0.04949,0.04937,6.38,6.37,28.3,5.8 m -   13 m,0.0,13.0
(2022 AX6),2022-01-10 00:01:00,0.00999,0.00995,13.65,13.63,26.8,12 m -   26 m,0.0,26.0
(2022 BK3),2022-01-12 00:25:00,0.02556,0.02482,14.68,14.68,26.0,16 m -   37 m,0.0,37.0
(2022 AQ2),2022-01-13 00:04:00,0.03626,0.03592,4.22,4.2,26.3,15 m -   33 m,0.0,33.0
(2022 BE3),2022-01-16 00:03:00,0.02812,0.02793,20.97,20.96,25.1,26 m -   57 m,0.0,57.0
(2022 BW1),2022-01-17 00:02:00,0.04618,0.04501,11.11,11.11,25.4,22 m -   49 m,0.0,49.0
(2022 BM1),2022-01-17 00:23:00,0.01971,0.01949,14.49,14.48,26.6,13 m -   29 m,0.0,29.0
(2022 AY6),2022-01-17 01:11:00,0.00327,0.00323,22.91,22.87,26.3,15 m -   33 m,1.0,33.0
(2022 BE),2022-01-19 00:06:00,0.00617,0.00615,8.01,7.96,28.1,6.3 m -   14 m,0.0,14.0
(2022 AE6),2022-01-20 00:02:00,0.01208,0.01201,10.61,10.59,25.6,20 m -   44 m,0.0,44.0
(2022 BE1),2022-01-20 00:03:00,0.01649,0.01641,3.52,3.48,28.4,5.7 m -   13 m,0.0,13.0
(2022 CN5),2022-01-21 00:02:00,0.04854,0.04832,5.61,5.6,25.2,24 m -   54 m,0.0,54.0
(2022 AX4),2022-01-21 00:03:00,0.02022,0.02014,6.9,6.88,26.1,16 m -   36 m,0.0,36.0
(2022 CA5),2022-01-21 00:13:00,0.04411,0.04387,14.3,14.3,23.1,65 m -  150 m,0.0,150.0
(2018 PN22),2022-01-21 01:38:00,0.02913,0.02907,2.74,2.71,27.5,8.4 m -   19 m,0.0,19.0
(2022 BT3),2022-01-23 00:04:00,0.02177,0.02145,14.53,14.52,26.1,16 m -   36 m,0.0,36.0
(2022 DZ2),2022-01-23 00:11:00,0.0408,0.04071,5.88,5.87,24.1,40 m -   90 m,0.0,90.0
(2022 CG2),2022-01-24 00:04:00,0.04848,0.04792,13.53,13.52,24.4,35 m -   78 m,0.0,78.0
(2022 BP2),2022-01-25 00:01:00,0.00373,0.00372,16.19,16.15,27.1,10 m -   23 m,0.0,23.0
(2022 BA7),2022-01-25 00:02:00,0.00066,0.00066,9.7,9.27,30.9,1.8 m -  4.0 m,0.0,4.0
(2022 CH),2022-01-25 00:02:00,0.02412,0.02393,12.63,12.62,24.5,33 m -   75 m,0.0,75.0
(2022 BW2),2022-01-25 00:09:00,0.04223,0.04161,4.95,4.93,27.8,7.3 m -   16 m,0.0,16.0
(2022 BG6),2022-01-26 00:02:00,0.01735,0.01715,13.78,13.76,26.7,12 m -   27 m,0.0,27.0
(2022 CO1),2022-01-26 00:03:00,0.0423,0.04206,17.43,17.42,23.1,62 m -  140 m,0.0,140.0
(2022 BO2),2022-01-26 00:05:00,0.04438,0.04412,13.98,13.97,25.9,17 m -   38 m,0.0,38.0
(2022 CS4),2022-01-26 00:11:00,0.01654,0.0165,5.78,5.75,28.1,6.4 m -   14 m,0.0,14.0
(2022 CR2),2022-01-27 02:34:00,0.04119,0.03984,20.92,20.92,25.3,23 m -   51 m,0.0,51.0
(2022 CJ),2022-01-28 00:01:00,0.01069,0.01064,8.48,8.45,26.8,12 m -   26 m,0.0,26.0
(2022 BA5),2022-01-28 00:02:00,0.01918,0.01916,9.09,9.07,27.2,9.8 m -   22 m,0.0,22.0
(2022 CH4),2022-01-28 00:05:00,0.01143,0.01136,10.13,10.1,26.4,14 m -   31 m,0.0,31.0
(2022 BL2),2022-01-30 00:01:00,0.01598,0.01593,4.66,4.62,28.1,6.3 m -   14 m,0.0,14.0
(2022 BE6),2022-01-30 00:01:00,0.02455,0.02441,10.1,10.09,27.2,9.6 m -   21 m,0.0,21.0
(2022 CM),2022-01-30 00:01:00,0.00806,0.008,16.5,16.48,25.1,26 m -   58 m,1.0,58.0
(2022 CP6),2022-01-30 00:02:00,0.0243,0.02425,8.62,8.61,25.5,21 m -   47 m,0.0,47.0
(2022 CJ4),2022-01-30 00:05:00,0.0356,0.03493,10.19,10.18,26.1,16 m -   36 m,0.0,36.0
(2022 CB7),2022-01-31 00:02:00,0.03886,0.03873,9.66,9.65,25.0,26 m -   58 m,0.0,58.0
(2022 CR),2022-02-01 00:01:00,0.03045,0.03039,8.8,8.79,27.3,9.1 m -   20 m,0.0,20.0
(2022 CO),2022-02-01 00:03:00,0.00671,0.00667,21.44,21.43,25.5,21 m -   47 m,1.0,47.0
(2022 BY12),2022-02-01 00:03:00,0.04438,0.0441,3.88,3.86,27.3,9.4 m -   21 m,0.0,21.0
(2022 BY),2022-02-02 00:01:00,0.04001,0.03986,4.96,4.95,26.3,15 m -   33 m,0.0,33.0
(2022 CY1),2022-02-02 00:16:00,0.00183,0.00181,12.27,12.15,28.1,6.4 m -   14 m,0.0,14.0
(2022 CK4),2022-02-03 00:04:00,0.00889,0.00886,6.67,6.63,29.1,4.0 m -  8.9 m,0.0,8.9
(2022 DR),2022-02-05 00:03:00,0.0488,0.04838,7.55,7.54,25.1,26 m -   57 m,0.0,57.0
(2022 DA1),2022-02-05 00:17:00,0.03275,0.03239,7.13,7.12,26.1,16 m -   35 m,0.0,35.0
(2022 CD1),2022-02-08 00:04:00,0.04092,0.04049,5.62,5.61,26.6,12 m -   28 m,0.0,28.0
(2022 DM3),2022-02-08 00:25:00,0.02762,0.02739,4.67,4.65,26.3,15 m -   33 m,0.0,33.0
(2022 DM2),2022-02-09 00:02:00,0.02614,0.02604,3.21,3.18,27.3,9.4 m -   21 m,0.0,21.0
(2022 CG7),2022-02-12 00:01:00,0.00034,0.00034,15.45,14.93,28.6,5.0 m -   11 m,1.0,11.0
